,Owner,Session ID,Mouse ID,Date,Phase,Markov,Left Reward Prob,Right Reward Prob,Block Range Min,Block Range Max,No. Trials,No. Blocks,No. Rewards,p(high Port),Decision Window Duration,Min Inter-trial-interval,Left Solenoid Duration,Right Solenoid Duration
177,celia,09082017_Sky,Sky,2017-09-08,2.0,1,0.1,0.9,,,590.0,11.0,463.0,0.88,2.0,1.0,45.0,45.0
179,celia,09122017_Sky,Sky,2017-09-12,2.0,1,0.1,0.9,,,740.0,15.0,598.0,0.9,2.0,1.0,40.0,40.0
180,celia,09132017_Sky,Sky,2017-09-13,2.0,1,0.9,0.1,,,667.0,13.0,493.0,0.82,2.0,1.0,40.0,40.0
181,celia,09142017_Sky,Sky,2017-09-14,2.0,1,0.1,0.9,,,659.0,13.0,485.0,0.8,2.0,1.0,40.0,40.0
182,celia,09152017_Sky,Sky,2017-09-15,2.0,1,0.9,0.1,,,728.0,11.0,593.0,0.89,2.0,1.0,40.0,40.0
223,celia,09042017_Wine,Wine,2017-09-04,2.0,0,0.9,0.1,50.0,50.0,614.0,9.0,454.0,0.8,3.0,1.0,45.0,45.0
224,celia,09052017_Wine,Wine,2017-09-05,2.0,0,0.9,0.1,50.0,50.0,585.0,8.0,442.0,0.81,3.0,1.0,45.0,45.0
225,celia,09062017_Wine,Wine,2017-09-06,2.0,1,0.9,0.1,,,823.0,27.0,601.0,0.8,2.0,1.0,40.0,40.0
226,celia,09072017_Wine,Wine,2017-09-07,2.0,1,0.9,0.1,,,768.0,20.0,587.0,0.82,2.0,1.0,40.0,40.0
227,celia,09082017_Wine,Wine,2017-09-08,2.0,1,0.1,0.9,,,628.0,12.0,467.0,0.82,2.0,1.0,45.0,45.0
228,celia,09112017_Wine,Wine,2017-09-11,2.0,1,0.1,0.9,,,588.0,19.0,416.0,0.77,2.0,1.0,40.0,40.0
229,celia,09122017_Wine,Wine,2017-09-12,2.0,1,0.1,0.9,,,663.0,13.0,537.0,0.89,2.0,1.0,40.0,40.0
230,celia,09132017_Wine,Wine,2017-09-13,2.0,1,0.1,0.9,,,646.0,8.0,520.0,0.89,2.0,1.0,40.0,40.0
231,celia,09142017_Wine,Wine,2017-09-14,2.0,1,0.9,0.1,,,646.0,12.0,516.0,0.88,2.0,1.0,40.0,40.0
232,celia,09152017_Wine,Wine,2017-09-15,2.0,1,0.1,0.9,,,693.0,10.0,537.0,0.88,2.0,1.0,40.0,40.0
233,celia,09182017_Wine,Wine,2017-09-18,2.0,1,0.9,0.1,,,658.0,14.0,514.0,0.88,2.0,1.0,40.0,40.0
234,celia,09192017_Wine,Wine,2017-09-19,2.0,1,0.9,0.1,,,695.0,15.0,546.0,0.84,2.0,1.0,40.0,40.0
235,celia,09202017_Wine,Wine,2017-09-20,2.0,1,0.1,0.9,,,728.0,13.0,572.0,0.86,2.0,1.0,40.0,40.0
236,celia,09212017_Wine,Wine,2017-09-21,2.0,1,0.1,0.9,,,733.0,18.0,563.0,0.87,2.0,1.0,40.0,40.0
237,celia,09222017_Wine,Wine,2017-09-22,2.0,1,0.1,0.9,,,703.0,14.0,581.0,0.91,2.0,1.0,40.0,40.0
238,celia,09252017_Wine,Wine,2017-09-25,2.0,1,0.9,0.1,,,884.0,22.0,680.0,0.84,2.0,1.0,40.0,40.0
261,celia,10162017_Dill,Dill,2017-10-16,2.0,0,0.1,0.9,50.0,50.0,329.0,4.0,217.0,0.71,7.0,1.0,50.0,50.0
